SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HiPr,LOW_PRICE,CLOSE_PRICE,AvgPr,Vol,Val_CR,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CAMS, EQ,8/14/24,4123.85,4178.85,4253.9,4091.15,4168.75,4170.95,392422,163.6774,47518,115748,29.5
CAMS, EQ,8/13/24,4261.1,4265,4329,4080,4123.85,4206.81,329880,138.7744,33388,123214,37.35
CAMS, EQ,8/12/24,4370.75,4350,4400.1,4220.55,4261.1,4279.64,411217,175.9861,47440,155708,37.87
CAMS, EQ,8/9/24,4254.55,4340,4440,4322.7,4370.75,4394.01,600288,263.7672,57794,169370,28.21
CAMS, EQ,8/8/24,4133.95,4208.5,4376.2,4170.85,4254.55,4296.64,1061607,456.1344,97148,199302,18.77
CAMS, EQ,8/7/24,3880.15,4038,4214,3980,4133.95,4128.78,1632840,674.1632,125402,365550,22.39
CAMS, EQ,8/5/24,4368.5,4310,4311,3913.25,3991.15,4068.29,958853,390.0888,114117,451872,47.13
CAMS, EQ,8/2/24,4414.3,4369.05,4435.65,4340.2,4368.5,4384.31,458252,200.9119,49715,147470,32.18
CAMS, EQ,8/1/24,4534.2,4525,4525,4395.1,4414.3,4441.33,417581,185.4617,55477,176795,42.34
CAMS, EQ,7/30/24,4284.6,4292,4725,4290,4695.05,4613.46,2391236,1103.1863,191536,313491,13.11
CAMS, EQ,7/29/24,4031.75,4031.75,4320,4031.75,4284.6,4216.04,493685,208.1395,56592,177397,35.93
CAMS, EQ,7/26/24,4036.8,4048,4085,4001,4031.75,4042.34,107096,43.2919,18461,54750,51.12
CAMS, EQ,7/25/24,4071.4,4030,4071.7,4005.15,4036.8,4033.52,126224,50.9127,17128,72638,57.55
CAMS, EQ,7/24/24,4051.35,4044,4125,4015.95,4071.4,4073.08,136120,55.4427,18699,43916,32.26
CAMS, EQ,7/23/24,4054.8,4062,4248.6,3777,4051.35,4070.73,772670,314.5332,92724,189504,24.53
CAMS, EQ,7/22/24,4128.95,4100,4155,4042.5,4054.8,4086.96,131868,53.8939,22670,47038,35.67
CAMS, EQ,7/19/24,4170.55,4167.05,4176.4,4051,4128.95,4099.54,179638,73.6432,26274,59876,33.33
CAMS, EQ,7/18/24,4226.75,4255,4319.8,4146,4170.55,4224.39,355549,150.1977,47148,103256,29.04
CAMS, EQ,7/16/24,4041.35,4054.95,4256,4048.15,4226.75,4190.81,596704,250.0674,61075,184802,30.97
CAMS, EQ,7/15/24,4070.25,4050,4098.95,4011,4041.35,4045.77,145285,58.779,18180,56901,39.17
CAMS, EQ,7/12/24,4115.65,4139,4229,4027.05,4070.25,4116.05,354359,145.8558,42039,124239,35.06
CAMS, EQ,7/11/24,4075.65,4153.95,4173.5,3975,4115.65,4058.8,477170,193.6735,53797,154370,32.35
CAMS, EQ,7/10/24,3987.85,4005,4327.75,4000,4075.65,4179.5,2013637,841.5989,178567,374456,18.6
CAMS, EQ,7/9/24,3762.5,3770.2,4012,3770,3987.85,3921.75,674785,264.634,71746,225594,33.43
CAMS, EQ,7/8/24,3765.3,3753.05,3795.1,3733.3,3762.5,3764.79,88145,33.1848,12357,42182,47.86
CAMS, EQ,7/5/24,3724.95,3730,3890,3720,3765.3,3801.82,397525,151.1317,46041,158635,39.91
CAMS, EQ,7/4/24,3799.55,3795.95,3829.5,3712.95,3724.95,3750.61,131275,49.2362,17811,68781,52.39
CAMS, EQ,7/3/24,3762.95,3779.9,3840,3763.95,3799.55,3798.97,171193,65.0357,24763,69684,40.7
CAMS, EQ,7/2/24,3653.9,3727.1,3770,3706.1,3762.95,3742.53,343378,128.5101,41838,135111,39.35
CAMS, EQ,7/1/24,3612.75,3620,3675,3601.1,3653.9,3658.99,160678,58.7919,20146,91888,57.19
CAMS, EQ,6/28/24,3551.1,3574.95,3662.75,3560,3612.75,3612.1,239019,86.3361,29527,109058,45.63
CAMS, EQ,6/27/24,3649.15,3652.45,3659.05,3529.25,3551.1,3583.43,173710,62.2478,24184,115896,66.72
CAMS, EQ,6/26/24,3684.8,3693,3714.65,3639,3649.15,3660.53,115904,42.427,17116,57928,49.98
CAMS, EQ,6/25/24,3656.35,3720,3838,3663.25,3684.8,3765.61,719979,271.1157,74558,204759,28.44
CAMS, EQ,6/24/24,3548.8,3540,3665,3536,3656.35,3623.79,222698,80.7011,26112,108459,48.7
