Stock|  | Issued Shares|  | Total Market Cap|  | FreeFloatMarketCap
INFY| "Issued Capital (Shares)"| "4,15,03,57,852"| Total Market Cap (₹ Lakhs)| 6,12,17,778.32| Free Float Market Cap (₹ Lakhs)| 5,26,47,289.35
INTELLECT| "Issued Capital (Shares)"| "13,64,68,985"| Total Market Cap (₹ Lakhs)| 9,71,590.94| Free Float Market Cap (₹ Lakhs)| 6,21,818.20
INDIGO| "Issued Capital (Shares)"| "38,57,91,619"| Total Market Cap (₹ Lakhs)| 96,33,216.73| Free Float Market Cap (₹ Lakhs)| 30,82,629.35
IPCALAB| "Issued Capital (Shares)"| "25,37,04,218"| Total Market Cap (₹ Lakhs)| 22,83,337.96| Free Float Market Cap (₹ Lakhs)| 12,10,169.12
ITC| "Issued Capital (Shares)"| "12,47,02,37,312"| Total Market Cap (₹ Lakhs)| 5,58,60,428.04| Free Float Market Cap (₹ Lakhs)| 3,96,60,903.91
JINDALSTEL| "Issued Capital (Shares)"| "1,02,00,88,097"| Total Market Cap (₹ Lakhs)| 72,70,167.87| Free Float Market Cap (₹ Lakhs)| 26,17,260.43
JKCEMENT| "Issued Capital (Shares)"| "7,72,68,251"| Total Market Cap (₹ Lakhs)| 25,56,806.43| Free Float Market Cap (₹ Lakhs)| 10,99,426.76
JSWSTEEL| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
JUBLFOOD| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
KOTAKBANK| "Issued Capital (Shares)"| "1,98,74,51,085"| Total Market Cap (₹ Lakhs)| 3,59,62,927.38| Free Float Market Cap (₹ Lakhs)| 2,66,12,566.26
L&TFH| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
LTTS| "Issued Capital (Shares)"| "10,56,83,308"| Total Market Cap (₹ Lakhs)| 49,00,534.99| Free Float Market Cap (₹ Lakhs)| 12,74,139.10
LTI| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
LT| "Issued Capital (Shares)"| "1,40,56,48,717"| Total Market Cap (₹ Lakhs)| 4,07,14,615.09| Free Float Market Cap (₹ Lakhs)| 3,50,14,568.98
LAURUSLABS| "Issued Capital (Shares)"| "53,86,50,925"| Total Market Cap (₹ Lakhs)| 21,92,309.26| Free Float Market Cap (₹ Lakhs)| 16,00,385.76
LICHSGFIN| Total Market Cap (₹ Lakhs)| 25,00,586.40| Free Float Market Cap (₹ Lakhs)| 13,75,322.52
LUPIN| "Issued Capital (Shares)"| "45,52,09,934"| Total Market Cap (₹ Lakhs)| 51,42,051.41| Free Float Market Cap (₹ Lakhs)| 27,25,287.25
MGL| "Issued Capital (Shares)"| "9,87,77,778"| Total Market Cap (₹ Lakhs)| 10,39,142.22| Free Float Market Cap (₹ Lakhs)| 5,92,311.07
M&MFIN| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
M&M| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
MANAPPURAM| "Issued Capital (Shares)"| "84,63,94,729"| Total Market Cap (₹ Lakhs)| 12,59,012.16| Free Float Market Cap (₹ Lakhs)| 8,18,357.90
MARICO| "Issued Capital (Shares)"| "1,29,34,84,698"| Total Market Cap (₹ Lakhs)| 75,49,423.44| Free Float Market Cap (₹ Lakhs)| 30,19,769.38
MARUTI| "Issued Capital (Shares)"| "30,20,80,060"| Total Market Cap (₹ Lakhs)| 3,18,39,238.32| Free Float Market Cap (₹ Lakhs)| 1,40,09,264.86
MFSL| "Issued Capital (Shares)"| "34,51,14,771"| Total Market Cap (₹ Lakhs)| 32,95,328.39| Free Float Market Cap (₹ Lakhs)| 22,40,823.31
METROPOLIS| "Issued Capital (Shares)"| "5,12,20,706"| Total Market Cap (₹ Lakhs)| 7,27,334.03| Free Float Market Cap (₹ Lakhs)| 3,63,667.01
MINDTREE| "Issued Capital (Shares)"| "16,49,55,625"| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
MOTHERSON| "Issued Capital (Shares)"| "6,77,64,21,366"| Total Market Cap (₹ Lakhs)| 68,57,738.42| Free Float Market Cap (₹ Lakhs)| 24,00,208.45
MPHASIS| "Issued Capital (Shares)"| "18,85,59,854"| Total Market Cap (₹ Lakhs)| 46,68,741.99| Free Float Market Cap (₹ Lakhs)| 20,54,246.47
MRF| Total Market Cap (₹ Lakhs)| 46,56,775.01| Free Float Market Cap (₹ Lakhs)| 22,35,252.01
MCX| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
MUTHOOTFIN| "Issued Capital (Shares)"| "40,14,48,891"| Total Market Cap (₹ Lakhs)| 51,98,763.14| Free Float Market Cap (₹ Lakhs)| 14,03,666.05
NATIONALUM| "Issued Capital (Shares)"| "1,83,66,31,787"| Total Market Cap (₹ Lakhs)| 18,65,099.58| Free Float Market Cap (₹ Lakhs)| 9,13,898.79
NAVINFLUOR| Total Market Cap (₹ Lakhs)| 23,17,144.12| Free Float Market Cap (₹ Lakhs)| 16,22,000.88
NESTLEIND| "Issued Capital (Shares)"| "9,64,15,716"| Total Market Cap (₹ Lakhs)| 2,13,56,081.09| Free Float Market Cap (₹ Lakhs)| 79,01,750.00
NMDC| "Issued Capital (Shares)"| "2,93,06,05,850"| Total Market Cap (₹ Lakhs)| 42,28,864.24| Free Float Market Cap (₹ Lakhs)| 16,49,257.05
NTPC| "Issued Capital (Shares)"| "9,69,66,66,134"| Total Market Cap (₹ Lakhs)| 2,35,62,898.71| Free Float Market Cap (₹ Lakhs)| 1,15,45,820.37
OBEROIRLTY| "Issued Capital (Shares)"| "36,36,02,237"| Total Market Cap (₹ Lakhs)| 43,44,501.33| Free Float Market Cap (₹ Lakhs)| 13,90,240.43
ONGC| "Issued Capital (Shares)"| "12,58,02,79,206"| Total Market Cap (₹ Lakhs)| 2,31,41,423.60| Free Float Market Cap (₹ Lakhs)| 71,73,841.32
OFSS| "Issued Capital (Shares)"| "8,65,39,757"| Total Market Cap (₹ Lakhs)| 38,00,696.32| Free Float Market Cap (₹ Lakhs)| 10,26,188.01
PAGEIND| "Issued Capital (Shares)"| "1,11,53,874"| Total Market Cap (₹ Lakhs)| 46,54,098.93| Free Float Market Cap (₹ Lakhs)| 25,13,213.42
PERSISTENT| "Issued Capital (Shares)"| "7,69,25,000"| Total Market Cap (₹ Lakhs)| 45,69,191.15| Free Float Market Cap (₹ Lakhs)| 30,61,358.07
PETRONET| "Issued Capital (Shares)"| "1,50,00,00,088"| Total Market Cap (₹ Lakhs)| 37,35,000.22| Free Float Market Cap (₹ Lakhs)| 18,67,500.11
PIIND| "Issued Capital (Shares)"| "15,17,18,118"| Total Market Cap (₹ Lakhs)| 55,85,654.23| Free Float Market Cap (₹ Lakhs)| 29,60,396.74
PIDILITIND| "Issued Capital (Shares)"| "50,84,61,540"| Total Market Cap (₹ Lakhs)| 1,28,31,026.96| Free Float Market Cap (₹ Lakhs)| 38,49,308.09
PEL| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
POLYCAB| "Issued Capital (Shares)"| "14,99,91,305"| Total Market Cap (₹ Lakhs)| 77,24,552.21| Free Float Market Cap (₹ Lakhs)| 23,94,611.18
PFC| "Issued Capital (Shares)"| "2,64,00,81,408"| Total Market Cap (₹ Lakhs)| 81,16,930.29| Free Float Market Cap (₹ Lakhs)| 35,71,449.33
POWERGRID| Total Market Cap (₹ Lakhs)| 1,84,36,121.92| Free Float Market Cap (₹ Lakhs)| 90,33,699.74
PNB| "Issued Capital (Shares)"| "11,01,10,15,558"| Total Market Cap (₹ Lakhs)| 75,92,095.23| Free Float Market Cap (₹ Lakhs)| 20,49,865.71
PVR| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
RAIN| "Issued Capital (Shares)"| "33,63,45,679"| Total Market Cap (₹ Lakhs)| 6,09,458.37| Free Float Market Cap (₹ Lakhs)| 3,53,485.85
RBLBANK| "Issued Capital (Shares)"| "60,06,85,653"| Total Market Cap (₹ Lakhs)| 13,95,993.46| Free Float Market Cap (₹ Lakhs)| 13,82,033.52
RECLTD| "Issued Capital (Shares)"| "2,63,32,24,000"| Total Market Cap (₹ Lakhs)| 71,30,770.59| Free Float Market Cap (₹ Lakhs)| 33,51,462.18
RELIANCE| "Issued Capital (Shares)"| "6,76,56,20,988"| Total Market Cap (₹ Lakhs)| 16,73,17,189.84| Free Float Market Cap (₹ Lakhs)| 8,36,58,594.92
SBICARD| "Issued Capital (Shares)"| "94,66,03,559"| Total Market Cap (₹ Lakhs)| 80,55,596.29| Free Float Market Cap (₹ Lakhs)| 24,97,234.85
SBILIFE| "Issued Capital (Shares)"| "1,00,10,40,042"| Total Market Cap (₹ Lakhs)| 1,34,63,988.56| Free Float Market Cap (₹ Lakhs)| 60,58,794.85
SHREECEM| "Issued Capital (Shares)"| "3,60,80,748"| Total Market Cap (₹ Lakhs)| 92,81,790.46| Free Float Market Cap (₹ Lakhs)| 34,34,262.47
SRTRANSFIN| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
SIEMENS| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
SRF| "Issued Capital (Shares)"| "29,64,24,825"| Total Market Cap (₹ Lakhs)| 72,20,908.74| Free Float Market Cap (₹ Lakhs)| 35,38,245.28
