SYMBOL,SERIES,Adjusted_52_Week_High,52WH_Date,Adjusted_52_Week_Low,52WL_Date
BANKETF,EQ,    612.84,05-JAN-2026,    481.38,11-MAR-2025
BANKIETF,EQ,     62.88,28-NOV-2025,     47.53,14-JAN-2025
BANKINDIA,EQ,    153.24,06-JAN-2026,     90.05,13-JAN-2025
BANKNIFTY1,EQ,    651.60,21-JUL-2025,    490.15,11-MAR-2025
BANKPSU,EQ,     90.51,07-JAN-2026,     55.29,03-MAR-2025
BANSALWIRE,EQ,    434.30,22-JUL-2025,    285.60,09-JAN-2026
BANSWRAS,EQ,    165.49,04-JUL-2025,    100.50,13-JAN-2026
BASF,EQ,   5424.00,20-MAY-2025,   3602.10,13-JAN-2026
BASML,EQ,     48.85,15-JAN-2025,     23.10,12-JAN-2026
BATAINDIA,EQ,   1424.60,03-FEB-2025,    906.55,13-JAN-2026
BAYERCROP,EQ,   6511.00,07-JUL-2025,   4217.45,13-FEB-2025
BBETF0432,EQ,   1346.89,09-JAN-2026,   1211.58,15-JAN-2025
BBL,EQ,   3700.00,05-FEB-2025,   2350.00,07-APR-2025
BBNPNBETF,EQ,     62.00,08-DEC-2025,     47.43,10-MAR-2025
BBNPPGOLD,EQ,    140.25,13-JAN-2026,     76.50,14-JAN-2025
BBOX,EQ,    677.75,21-JAN-2025,    320.85,09-APR-2025
BBTC,EQ,   2345.25,22-JAN-2025,   1607.05,28-FEB-2025
BBTCL,EQ,    229.35,17-NOV-2025,    120.60,26-MAR-2025
BCG,EQ,     22.00,14-JUL-2025,      9.65,12-JAN-2026
BCLIND,EQ,     52.01,20-JAN-2025,     29.31,12-JAN-2026
BCONCEPTS,EQ,    550.00,17-JAN-2025,    252.10,09-SEP-2025
BDL,EQ,   2096.60,30-MAY-2025,    907.00,03-MAR-2025
BEARDSELL,EQ,     43.24,22-JAN-2025,     23.00,07-APR-2025
BECTORFOOD,EQ,    333.42,01-FEB-2025,    224.00,30-DEC-2025
BEDMUTHA,EQ,    216.00,17-JAN-2025,     95.00,09-DEC-2025
BEL,EQ,    436.00,01-JUL-2025,    240.25,19-FEB-2025
BELLACASA,EQ,    497.35,15-OCT-2025,    339.80,12-JAN-2026
BELRISE,EQ,    190.10,02-JAN-2026,     89.15,02-JUN-2025
BEML,EQ,   2437.40,23-JUN-2025,   1175.00,03-MAR-2025
BEPL,EQ,    130.69,16-JAN-2025,     82.41,12-JAN-2026
BERGEPAINT,EQ,    605.00,03-JUL-2025,    449.05,13-JAN-2025
BESTAGRO,EQ,    569.90,20-JAN-2025,    244.15,26-MAR-2025
BETA,EQ,   2000.00,18-AUG-2025,   1429.52,04-MAR-2025
BFINVEST,EQ,    609.40,20-JAN-2025,    386.30,12-JAN-2026
BFSI,EQ,     29.52,05-JAN-2026,     22.30,01-FEB-2025
BGRENERGY,EQ,    490.80,24-OCT-2025,     69.05,05-MAR-2025
BHAGCHEM,EQ,    331.00,28-MAY-2025,    198.02,05-JAN-2026
BHAGERIA,EQ,    244.60,24-OCT-2025,    132.00,07-APR-2025
BHANDARI,EQ,      7.06,15-JAN-2025,      3.84,12-JAN-2026
BHARATFORG,EQ,   1506.50,06-JAN-2026,    919.10,07-APR-2025
BHARATGEAR,EQ,    154.20,29-SEP-2025,     64.80,01-APR-2025
BHARATRAS,EQ,   3000.00,13-AUG-2025,   2058.10,12-JAN-2026
BHARATSE,EQ,    239.45,17-OCT-2025,     69.84,07-APR-2025
BHARATWIRE,EQ,    248.70,17-JUN-2025,    122.23,04-MAR-2025
BHARTIARTL,EQ,   2174.50,21-NOV-2025,   1559.50,28-FEB-2025
BHARTIHEXA,EQ,   2052.90,01-JUL-2025,   1234.00,27-FEB-2025
BHEL,EQ,    305.90,07-JAN-2026,    176.00,03-MAR-2025
BIGBLOC,EQ,     97.83,21-JAN-2025,     48.25,11-NOV-2025
BIKAJI,EQ,    818.70,04-SEP-2025,    558.80,18-FEB-2025
BIL,EQ,    984.75,23-JUL-2025,    444.00,09-APR-2025
BIOCON,EQ,    424.95,18-NOV-2025,    291.00,03-MAR-2025
BIOFILCHEM,EQ,     62.88,17-JAN-2025,     30.35,13-JAN-2026
BIRLACABLE,EQ,    215.20,17-JUN-2025,    125.35,17-MAR-2025
BIRLACORPN,EQ,   1535.30,30-JUL-2025,    910.25,03-MAR-2025
BIRLAMONEY,EQ,    226.00,16-JAN-2025,    131.27,04-MAR-2025
BIRLANU,EQ,   2489.55,13-JAN-2025,   1500.10,24-DEC-2025
BLACKBUCK,EQ,    748.00,21-OCT-2025,    326.45,28-JAN-2025
BLAL,EQ,    248.00,05-FEB-2025,    180.50,03-MAR-2025
BLBLIMITED,EQ,     21.30,01-FEB-2025,     12.00,13-JAN-2026
BLISSGVS,EQ,    195.80,07-JAN-2026,    108.12,07-APR-2025
BLKASHYAP,EQ,     80.01,31-JUL-2025,     45.00,07-APR-2025
BLS,EQ,    518.00,20-JAN-2025,    276.95,13-OCT-2025
BLSE,EQ,    232.50,11-JUN-2025,    131.31,07-APR-2025
BLUECOAST,EQ,     86.31,19-AUG-2025,     22.71,13-JAN-2025
BLUEDART,EQ,   7225.00,26-MAY-2025,   5242.50,18-DEC-2025
BLUEJET,EQ,   1027.80,21-JUL-2025,    490.45,12-JAN-2026
BLUESTARCO,EQ,   2269.80,25-MAR-2025,   1521.00,30-MAY-2025
BLUESTONE,EQ,    793.00,09-OCT-2025,    466.00,30-DEC-2025
BLUSPRING,EQ,    100.88,21-JUL-2025,     60.20,12-JAN-2026
BMWVENTLTD,EQ,     78.00,01-OCT-2025,     50.02,13-JAN-2026
BODALCHEM,EQ,     81.49,04-JUL-2025,     48.00,12-JAN-2026
BOHRAIND,EQ,     39.29,25-MAR-2025,     14.81,12-JAN-2026
BOMDYEING,EQ,    196.75,24-JUL-2025,    117.50,07-APR-2025
BOROLTD,EQ,    410.45,16-JAN-2025,    271.00,12-JAN-2026
BORORENEW,EQ,    721.00,12-NOV-2025,    441.45,07-APR-2025
BOROSCI,EQ,    190.79,18-JUL-2025,    107.42,07-APR-2025
BOSCH-HCIL,EQ,   1893.00,13-MAR-2025,   1350.00,09-DEC-2025
BOSCHLTD,EQ,  41945.00,10-SEP-2025,  25921.60,07-APR-2025
BPCL,EQ,    388.15,01-JAN-2026,    234.01,03-MAR-2025
BPL,EQ,    106.10,20-JAN-2025,     50.00,08-DEC-2025
BRIGADE,EQ,   1332.00,05-JUN-2025,    838.50,12-JAN-2026
BRIGHOTEL,EQ,     91.77,19-AUG-2025,     65.50,12-JAN-2026
BRITANNIA,EQ,   6336.00,04-SEP-2025,   4506.00,04-MAR-2025
BRNL,EQ,     53.43,15-JAN-2025,     17.40,11-AUG-2025
BROOKS,EQ,    178.41,13-JAN-2025,     68.11,30-DEC-2025
